data,mm,temp_mean,temp_max,temp_min,feriado,qnt_delivery,qnt_pickup,qnt_local
2022-08-18,55.2,12.604166666666666,13.291666666666666,12.379166666666668,0,1746,341,63
2022-08-19,0.0,6.429166666666667,6.95,5.916666666666667,0,2579,573,83
2022-08-20,0.0,8.7125,9.1875,7.8875,0,3018,814,121
2022-08-21,0.0,12.283333333333331,12.995833333333332,11.608333333333334,0,2374,498,69
2022-08-22,0.0,14.5,15.066666666666668,13.9125,0,1129,261,69
2022-08-23,0.0,16.554166666666667,17.175,15.866666666666667,0,1276,294,83
2022-08-24,0.0,17.870833333333334,18.5625,17.279166666666665,1,1968,426,92
2022-08-25,0.0,18.9,19.4875,18.254166666666663,2,2652,523,147
2022-08-26,0.0,19.45833333333333,20.204166666666666,18.75,0,1983,506,125
2022-08-27,0.0,21.45833333333333,21.995833333333334,20.77083333333333,0,2626,693,166
2022-08-28,6.4,16.841666666666665,17.554166666666667,16.625,0,2494,451,54
2022-08-29,0.0,8.275,8.708333333333334,7.7,0,1091,237,54
2022-08-30,0.0,11.841666666666669,12.479166666666666,11.195833333333333,0,1333,327,71
2022-08-31,0.0,13.966666666666669,14.545833333333334,13.254166666666668,0,1623,379,92
2022-09-01,0.0,19.3125,19.77083333333333,18.541666666666668,0,1621,401,102
2022-09-02,32.6,16.866666666666667,17.383333333333333,16.691666666666666,0,2927,665,118
2022-09-03,0.4,13.3625,13.904166666666669,12.995833333333332,0,3147,824,159
2022-09-04,0.0,9.904166666666669,10.454166666666667,9.195833333333333,0,2386,542,84
2022-09-05,0.0,13.308333333333332,13.820833333333333,12.8625,0,1350,310,73
2022-09-06,4.8,14.5375,14.8875,14.183333333333332,1,2534,588,99
2022-09-07,0.2,15.820833333333333,16.275000000000002,15.466666666666669,2,3034,531,106
2022-09-08,0.0,21.0,21.28333333333333,20.2875,0,1500,353,108
2022-09-09,0.0,24.204166666666666,24.7375,23.883333333333336,0,2481,592,121
2022-09-10,0.2,13.2875,14.191666666666668,12.8375,0,3173,802,164
2022-09-11,1.2,13.008333333333333,13.579166666666666,12.220833333333331,0,2735,453,76
2022-09-12,13.0,15.816666666666668,16.170833333333334,15.5,0,1347,232,56
2022-09-13,0.2,16.570833333333333,17.158333333333335,16.070833333333333,0,1492,280,69
2022-09-14,0.0,14.470833333333331,15.0875,14.0,0,1501,383,75
2022-09-15,0.0,15.033333333333331,15.675,14.545833333333334,0,1738,451,96
2022-09-16,0.0,16.195833333333333,16.779166666666665,15.6375,0,2394,622,108
2022-09-17,0.0,16.2625,16.8875,15.675,0,2919,670,173
2022-09-18,0.0,16.633333333333333,17.229166666666668,15.9625,0,2380,461,74
2022-09-19,32.800000000000004,15.1625,15.583333333333334,14.983333333333334,0,1385,227,49
2022-09-20,0.2,16.629166666666666,17.045833333333334,16.05,0,1224,294,62
2022-09-21,36.8,16.195833333333333,16.745833333333334,15.854166666666666,0,1511,379,80
2022-09-22,0.6,14.720833333333331,15.329166666666666,14.241666666666667,0,1483,375,79
2022-09-23,0.0,10.083333333333334,10.6875,9.433333333333334,0,2202,626,98
2022-09-24,0.0,12.55,13.091666666666669,11.816666666666668,0,2903,801,155
2022-09-25,11.4,14.983333333333334,15.5,14.683333333333332,0,2691,436,62
2022-09-26,0.0,15.95,16.320833333333333,15.4875,0,1140,237,59
2022-09-27,0.0,16.754545454545454,17.245454545454546,16.195454545454545,0,1213,290,80
2022-09-28,0.4,15.483333333333334,15.829166666666666,15.295833333333334,0,1456,304,73
2022-09-29,2.4,13.5625,13.858333333333334,13.304166666666667,0,1809,408,78
2022-09-30,10.8,15.3375,15.745833333333332,14.883333333333333,0,2503,645,131
2022-10-01,11.8,17.743478260869566,18.269565217391303,17.247826086956522,0,2825,783,137
2022-10-02,0.0,18.09583333333333,18.8125,17.420833333333334,0,2274,488,78
2022-10-03,0.0,17.441666666666666,18.10833333333333,16.825,0,1165,234,72
2022-10-04,0.0,17.829166666666666,18.529166666666665,17.162499999999998,0,1358,323,86
2022-10-05,0.0,20.22083333333333,20.916666666666668,19.491666666666667,0,1576,380,95
2022-10-06,74.4,18.8125,19.275,18.441666666666663,0,2184,400,101
2022-10-07,7.8,14.754166666666668,15.541666666666666,14.341666666666669,0,2725,678,132
2022-10-08,0.0,16.816666666666666,17.400000000000002,15.845833333333331,0,3112,750,131
2022-10-09,2.8,16.3125,17.2375,15.725,0,2844,436,49
2022-10-10,44.2,12.841666666666669,13.0875,12.629166666666668,0,1585,237,49
2022-10-11,66.0,15.583333333333334,15.7125,15.379166666666668,1,2354,438,90
2022-10-12,0.0,14.904166666666669,15.3,14.583333333333334,2,2615,516,120
2022-10-13,0.4,18.075,18.641666666666666,17.279166666666665,0,1511,306,82
2022-10-14,33.6,18.279166666666665,18.8875,17.895833333333332,1,2187,584,115
2022-10-15,0.0,19.53333333333333,20.204166666666666,19.008333333333333,2,2778,745,169
2022-10-16,35.6,19.433333333333334,19.975,18.89583333333333,0,2382,471,49
2022-10-17,0.0,19.716666666666665,20.404166666666665,19.15,0,1140,209,73
2022-10-18,7.6,17.883333333333333,18.27083333333333,17.695833333333333,0,1373,277,56
2022-10-19,0.2,20.43478260869565,20.83913043478261,19.76086956521739,0,1399,302,54
2022-10-20,31.2,17.983333333333334,18.620833333333334,17.695833333333333,0,1627,382,62
2022-10-21,0.6000000000000001,17.587500000000002,18.2125,16.866666666666667,0,2325,615,106
